"Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100"
"sttran","full","-",44.94,46.45,46.46,46.46,51.58,62.8,66.28,66.64,49.88,55.83,56.16,56.16
"sttran","partial",10,39.85,41.09,41.1,41.1,48.49,61.34,66.16,66.52,46.36,52.36,52.8,52.8
"sttran","labelnoise",20,39.47,40.62,40.62,40.62,47.76,60.02,65.17,66.1,46.77,52.57,52.97,52.97
"dsgdetr","full","-",47.82,49.34,49.35,49.35,55.46,68.01,72.38,72.83,53.85,60.35,60.73,60.73
"dsgdetr","partial",10,40.54,41.96,41.97,41.97,50.19,65.3,71.93,72.7,46.8,53.75,54.42,54.42
"dsgdetr","labelnoise",20,45.16,46.49,46.5,46.5,51.44,65.2,70.85,71.87,51.23,57.73,58.21,58.21
