"Context Fraction","Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"0.5","dsgdetr_gen_ant","full","-",19.81,30.01,31.89,31.89,7.43,13.41,14.61,14.61,21.86,34.66,52.13,57.27,11.83,18.2,36.06,52.73,14.34,15.66,15.67,15.67,4.95,5.72,5.73,5.73
"0.5","dsgdetr_gen_ant","partial",40,18.06,26.99,28.8,28.8,8.95,16.97,18.63,18.63,20.02,32.28,51.33,57.47,13.1,21.64,39.64,56.37,10.78,10.84,10.84,10.84,3.16,3.19,3.19,3.19
"0.5","dsgdetr_gen_ant","labelnoise",20,11.67,22.16,23.99,23.99,6.34,11.7,12.81,12.81,20.51,31.25,51.84,57.4,10.43,15.9,31.19,45.84,1.76,1.78,1.78,1.78,2.24,2.25,2.25,2.25
"0.5","ode","full","-",16.61,28.16,33.55,33.57,5.84,12.62,16.93,16.94,25.84,35.75,48.87,55.04,14.02,22.27,36.53,49.05,14.22,18.96,20.58,20.71,4.69,7.76,9.88,10.48
"0.5","ode","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","ode","labelnoise",20,16.87,29.52,35.96,36.04,5.3,10.98,14.43,14.47,29.0,38.88,50.07,55.68,12.92,18.92,30.27,44.82,11.69,12.99,13.05,13.05,3.24,3.62,3.64,3.64
"0.5","sde","full","-",17.47,30.01,36.46,36.51,6.36,13.69,18.26,18.28,28.97,39.14,51.51,56.68,15.39,23.7,38.74,50.83,13.91,17.68,18.03,18.03,4.57,6.88,7.17,7.17
"0.5","sde","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","sde","labelnoise",20,17.37,29.82,36.04,36.07,5.36,11.04,14.38,14.39,28.44,38.43,50.7,55.85,12.76,19.54,32.53,46.8,11.42,12.46,12.49,12.49,3.01,3.34,3.36,3.36
"0.7","sttran_ant","full","-",18.36,31.72,34.34,34.34,7.39,14.72,16.41,16.41,26.16,39.63,59.04,63.76,13.79,20.42,39.71,56.2,13.66,16.61,16.65,16.65,6.66,9.29,9.34,9.34
"0.7","sttran_ant","partial",40,21.39,32.85,35.14,35.14,8.02,14.94,16.56,16.56,22.77,36.28,57.49,63.62,8.79,16.1,36.62,55.48,11.76,11.78,11.78,11.78,3.39,3.4,3.4,3.4
"0.7","sttran_ant","labelnoise",20,22.51,35.8,38.31,38.31,6.97,13.25,14.65,14.65,26.54,39.93,57.83,63.11,11.78,17.49,33.49,49.32,11.26,11.31,11.31,11.31,2.6,2.61,2.61,2.61
"0.7","dsgdetr_ant","full","-",14.51,26.97,29.05,29.05,8.31,15.75,17.14,17.14,26.03,37.37,58.48,62.47,15.13,22.87,41.0,55.76,8.56,9.99,9.99,9.99,6.06,7.27,7.27,7.27
"0.7","dsgdetr_ant","partial",40,22.72,33.66,35.53,35.53,9.34,17.36,18.94,18.94,25.79,39.12,56.15,61.11,14.23,22.29,40.71,54.71,11.95,11.99,11.99,11.99,3.8,3.82,3.82,3.82
"0.7","dsgdetr_ant","labelnoise",20,17.45,27.44,29.07,29.07,6.65,11.49,12.38,12.38,22.76,34.08,55.84,61.88,10.17,15.65,30.75,48.08,6.47,6.48,6.48,6.48,2.29,2.3,2.3,2.3
"0.7","sttran_gen_ant","full","-",22.53,36.42,39.17,39.17,9.14,18.19,20.22,20.22,27.25,42.15,59.66,63.85,15.66,23.7,41.94,57.48,15.95,17.85,17.87,17.87,5.8,7.27,7.29,7.29
