"Method Name","Scenario Name","Severity Level","mR@10","mR@20","mR@50","mR@100","mR@10","mR@20","mR@50","mR@100","mR@10","mR@20","mR@50","mR@100"
"sttran","full","-",7.98,16.55,19.3,19.3,19.33,26.94,35.65,39.67,7.69,18.22,30.36,30.78
"sttran","partial",10,9.41,21.47,25.85,25.85,23.52,33.64,43.81,46.98,8.64,21.76,38.27,38.75
"sttran","labelnoise",20,6.51,12.48,14.41,14.42,14.43,19.74,27.4,34.55,6.44,13.63,23.08,23.52
"dsgdetr","full","-",6.69,14.68,19.08,19.1,23.28,29.8,36.04,39.7,6.48,15.99,30.41,31.46
"dsgdetr","partial",10,7.49,17.76,23.73,23.76,27.47,35.21,43.34,46.6,7.3,18.4,36.56,38.38
"dsgdetr","labelnoise",20,5.26,10.72,13.95,13.98,15.88,21.68,28.12,35.86,5.07,11.46,22.45,23.92
