"Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"sttran","full","-",66.4,69.86,69.88,69.88,30.54,34.73,34.83,34.83,73.25,92.65,99.17,99.9,45.71,63.44,80.49,95.63,71.75,82.45,83.35,83.35,36.58,51.78,53.83,53.83
"sttran","partial",10,57.67,60.81,60.83,60.83,43.95,52.69,52.86,52.86,67.47,88.8,99.02,99.94,65.55,81.95,92.95,99.58,63.82,74.17,75.25,75.25,47.69,69.69,73.37,73.37
"sttran","labelnoise",20,61.66,64.64,64.66,64.66,22.56,25.24,25.26,25.26,66.77,88.98,98.32,99.78,30.25,48.43,72.97,95.97,68.39,80.52,82.18,82.18,26.75,38.7,41.31,41.31
"dsgdetr","full","-",66.5,70.03,70.05,70.05,31.52,36.15,36.25,36.25,72.84,92.39,99.16,99.9,45.57,64.39,80.48,94.67,71.29,82.47,83.55,83.55,36.5,52.52,55.16,55.16
"dsgdetr","partial",10,55.52,58.29,58.31,58.31,40.95,48.08,48.24,48.24,65.77,87.74,98.86,99.91,59.37,76.23,89.77,98.11,63.5,75.48,77.1,77.1,43.86,65.39,69.83,69.83
"dsgdetr","labelnoise",20,60.17,63.05,63.06,63.06,20.92,23.59,23.6,23.6,65.87,88.56,98.08,99.72,30.24,48.28,72.34,95.41,67.39,79.05,80.58,80.58,26.32,38.58,41.18,41.18
