"Context Fraction","Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"0.5","dsgdetr_gen_ant","full","-",41.22,44.65,44.68,44.68,17.11,19.99,20.02,20.02,49.55,65.39,73.4,73.99,23.22,37.28,62.87,74.86,16.68,16.73,16.73,16.73,6.05,6.12,6.12,6.12
"0.5","dsgdetr_gen_ant","partial",40,41.22,44.47,44.5,44.5,21.2,24.53,24.55,24.55,49.87,64.52,73.42,73.99,28.2,42.23,64.94,75.16,14.53,14.53,14.53,14.53,5.27,5.27,5.27,5.27
"0.5","dsgdetr_gen_ant","labelnoise",20,39.31,42.4,42.42,42.42,11.89,13.64,13.66,13.66,46.14,61.31,72.5,73.9,16.03,28.13,55.66,72.3,15.25,15.26,15.26,15.26,3.67,3.68,3.68,3.68
"0.5","ode","full","-",40.27,43.45,43.48,43.48,17.49,20.74,20.86,20.86,47.22,62.37,72.45,73.92,24.89,37.98,61.83,74.31,24.53,25.15,25.21,25.21,9.72,10.63,10.74,10.74
"0.5","ode","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","ode","labelnoise",20,43.46,47.06,47.08,47.08,15.32,18.16,18.18,18.18,51.29,64.6,72.58,73.86,20.58,31.09,53.25,71.41,18.69,18.7,18.7,18.7,5.48,5.49,5.49,5.49
"0.5","sde","full","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","sde","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","sde","labelnoise",20,43.94,47.55,47.57,47.57,16.02,18.99,19.0,19.0,51.75,65.45,72.86,73.88,21.53,33.57,55.9,72.03,16.89,16.9,16.9,16.9,5.12,5.12,5.12,5.12
"0.7","sttran_ant","full","-",48.4,51.59,51.6,51.6,18.75,21.57,21.58,21.58,59.53,75.26,83.27,83.81,27.6,43.65,73.15,85.96,28.29,28.41,28.41,28.41,8.6,8.71,8.71,8.71
"0.7","sttran_ant","partial",40,45.78,48.51,48.52,48.52,23.05,25.78,25.79,25.79,56.39,72.79,83.12,83.81,30.87,46.47,73.83,85.89,16.57,16.57,16.57,16.57,5.88,5.88,5.88,5.88
"0.7","sttran_ant","labelnoise",20,47.43,50.52,50.53,50.53,15.58,17.74,17.75,17.75,57.5,73.25,82.49,83.72,22.23,35.28,63.65,82.96,14.05,14.05,14.05,14.05,3.36,3.36,3.36,3.36
"0.7","dsgdetr_ant","full","-",40.38,43.46,43.47,43.47,20.17,22.78,22.79,22.79,55.13,74.16,83.22,83.78,29.03,44.69,71.64,83.29,14.31,14.35,14.35,14.35,8.22,8.26,8.26,8.26
"0.7","dsgdetr_ant","partial",40,44.5,47.26,47.27,47.27,23.17,26.06,26.06,26.06,54.61,72.93,83.17,83.81,31.66,47.05,74.11,84.9,14.46,14.46,14.46,14.46,5.3,5.3,5.3,5.3
"0.7","dsgdetr_ant","labelnoise",20,42.67,45.54,45.55,45.55,15.28,17.35,17.35,17.35,53.75,71.71,82.43,83.68,21.23,36.98,63.65,81.23,9.8,9.8,9.8,9.8,3.25,3.25,3.25,3.25
"0.7","sttran_gen_ant","full","-",37.28,40.5,40.51,40.51,21.86,25.02,25.03,25.03,54.72,74.15,83.42,83.81,31.23,46.98,75.39,86.01,15.95,16.29,16.29,16.29,10.55,10.99,10.99,10.99
"0.7","sttran_gen_ant","partial",40,44.78,47.7,47.71,47.71,23.99,26.94,26.95,26.95,56.39,73.61,83.14,83.8,30.71,46.47,73.3,85.86,16.12,16.12,16.12,16.12,5.77,5.77,5.77,5.77
"0.7","sttran_gen_ant","labelnoise",20,43.79,46.91,46.92,46.92,17.41,19.98,19.99,19.99,54.64,72.38,82.54,83.7,23.2,38.19,64.52,82.99,10.71,10.71,10.71,10.71,3.45,3.45,3.45,3.45
"0.7","dsgdetr_gen_ant","full","-",48.54,51.79,51.8,51.8,20.8,23.77,23.78,23.78,59.57,76.07,83.36,83.81,28.62,46.12,73.82,85.8,20.43,20.5,20.5,20.5,6.91,7.0,7.0,7.0
"0.7","dsgdetr_gen_ant","partial",40,49.2,52.29,52.3,52.3,26.9,30.74,30.75,30.75,59.85,75.55,83.4,83.8,35.72,53.2,76.46,85.78,16.9,16.9,16.9,16.9,6.16,6.16,6.16,6.16
"0.7","dsgdetr_gen_ant","labelnoise",20,46.03,48.89,48.9,48.9,14.48,16.32,16.33,16.33,55.63,71.89,82.52,83.74,20.17,35.86,64.52,82.43,18.31,18.32,18.32,18.32,4.31,4.31,4.31,4.31
"0.7","ode","full","-",48.5,51.46,51.47,51.47,20.7,23.99,24.0,24.0,58.48,74.02,82.8,83.79,29.77,45.2,71.98,84.24,27.61,27.89,27.92,27.92,10.11,10.57,10.63,10.63
"0.7","ode","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.7","ode","labelnoise",20,50.57,53.81,53.82,53.82,17.71,20.53,20.54,20.54,59.98,74.61,82.36,83.68,23.88,37.79,62.57,82.33,21.91,21.92,21.92,21.92,6.21,6.21,6.21,6.21
"0.7","sde","full","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
