"Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100"
"sttran","full","-",19.0,29.4,32.12,32.12,20.31,31.06,45.9,48.44,18.57,31.02,41.18,41.52
"sttran","partial",10,16.01,25.63,28.42,28.42,19.96,30.09,45.07,48.49,16.42,28.24,37.86,38.22
"sttran","labelnoise",20,18.52,28.32,30.86,30.86,18.8,28.93,44.45,47.49,18.05,29.83,40.12,40.6
"dsgdetr","full","-",17.09,28.76,33.9,33.94,29.84,38.96,46.36,48.31,16.43,28.72,40.68,41.55
"dsgdetr","partial",10,15.42,25.67,30.11,30.14,26.49,36.08,45.21,48.42,15.23,26.76,37.93,38.98
"dsgdetr","labelnoise",20,16.18,26.28,30.67,30.72,27.12,36.81,45.45,48.31,15.34,26.88,39.53,40.98
