"Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"sttran","full","-",44.94,46.45,46.46,46.46,24.98,27.51,27.56,27.56,51.58,62.8,66.28,66.64,38.75,47.12,59.88,66.73,49.88,55.83,56.16,56.16,29.46,39.93,40.89,40.89
"sttran","partial",10,39.85,41.09,41.1,41.1,32.27,36.18,36.25,36.25,48.49,61.34,66.16,66.52,47.39,57.51,66.57,68.08,46.36,52.36,52.8,52.8,36.18,50.51,52.22,52.22
"sttran","labelnoise",20,39.47,40.62,40.62,40.62,18.17,19.94,19.94,19.94,47.76,60.02,65.17,66.1,28.58,38.26,52.72,63.97,46.77,52.57,52.97,52.97,21.56,29.64,30.62,30.62
"dsgdetr","full","-",47.82,49.34,49.35,49.35,25.59,28.08,28.11,28.11,55.46,68.01,72.38,72.83,39.92,49.37,64.63,72.68,53.85,60.35,60.73,60.73,30.15,40.59,41.58,41.58
"dsgdetr","partial",10,40.54,41.96,41.97,41.97,32.22,35.95,36.01,36.01,50.19,65.3,71.93,72.7,48.84,59.65,70.06,72.23,46.8,53.75,54.42,54.42,36.8,52.38,54.9,54.9
"dsgdetr","labelnoise",20,45.16,46.49,46.5,46.5,19.43,21.15,21.15,21.15,51.44,65.2,70.85,71.87,29.74,40.27,58.39,70.75,51.23,57.73,58.21,58.21,22.73,31.63,32.73,32.73
