SETTING,MODEL,RECALL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
NO CORRUPTIONS,STTRAN + IMPARTAIL,R@50,0.6330806914,0.6862741779,0.6625147171,0.5532879819,0.8258761653,0.6212443637,0.7585791446,0.5881033792,0.7739648965,0.4540035987,0.6229105211,0.893143366,0.5010799136,0.2451612903,0.5913019919,0.8361027876,0.6962413896,0.6509876591,0.7648601399,0.8205577764,0.9516324063,0.6626619512,0.5,0.8530057043,0.4731707317,0.6890756303
NO CORRUPTIONS,STTRAN + IMPARTAIL,R@100,0.6340958807,0.687562333,0.6643673385,0.5632086168,0.8310442528,0.6278979009,0.7694102734,0.6156630595,0.7825532553,0.4576023392,0.6235004916,0.893143366,0.5010799136,0.4129032258,0.5925818757,0.8410968855,0.6993860437,0.6569699414,0.7904040404,0.8215396124,0.9572249093,0.6682335302,0.5,0.8530057043,0.5682926829,0.6890756303
CORRUPTIONS,DSGDETR,R@10,0.1516077682,0.1872527877,0.139898885,0,0.3959444638,0.2767320159,0.2718705908,0.2661604168,0.2871662166,0.1231443995,0.1460176991,0,0,0,0.2430912283,0.2199673114,0.2820455226,0.2960941701,0.2680652681,0.3629052996,0.588573156,0.2550130477,0,0.5524352786,0,0
CORRUPTIONS,DSGDETR,R@20,0.2926302493,0.3277926246,0.2928180622,0.06235827664,0.433039201,0.3015039277,0.3209171076,0.3115961524,0.3283078308,0.1911830859,0.195280236,0,0,0,0.2785687192,0.2739943703,0.3480832585,0.3167498784,0.3516899767,0.400063118,0.6086759371,0.3041180241,0,0.5846862659,0,0
CORRUPTIONS,DSGDETR,R@50,0.326482731,0.3528334038,0.3477855115,0.1808390023,0.4637610715,0.3095288184,0.36829806,0.3397181934,0.3668616862,0.2451641925,0.2523107178,0.1665182547,0.05183585313,0.1870967742,0.291449379,0.3659311723,0.3897873615,0.3255274343,0.4296328671,0.4261635926,0.6224304716,0.3254978712,0.5,0.6035541904,0.1463414634,0.02100840336
CORRUPTIONS,DSGDETR,R@100,0.3267697774,0.3532910496,0.3487724219,0.3122637944,0.4670347475,0.3099144982,0.3726289683,0.3421327121,0.3736123612,0.2548358075,0.2649950836,0.3303650935,0.1911447084,0.1935483871,0.2916552875,0.37551076,0.3951781971,0.3261035154,0.4430361305,0.4272272483,0.6237908102,0.3264650002,0.5,0.6039929794,0.3073170732,0.1344537815
CORRUPTIONS,DSGDETR + IMPARTAIL,R@10,0.1213348944,0.169466456,0.1845782256,0.2622826909,0.4834529804,0.2179787135,0.2421373457,0.2263932517,0.4641089109,0.2028789924,0.2404129794,0.3348174533,0.126349892,0,0.2515795349,0.3173068192,0.3501048218,0.3105742889,0.4348290598,0.4509198869,0.659764208,0.2606807673,0,0.5822729267,0,0.05462184874
CORRUPTIONS,DSGDETR + IMPARTAIL,R@20,0.2897941892,0.3558934811,0.3309353141,0.3020597128,0.5038345215,0.2765793532,0.3154287919,0.2968715714,0.49669967,0.2501124606,0.3084562439,0.3668744435,0.1673866091,0,0.3047483582,0.3728321075,0.3779574723,0.3477712062,0.463966589,0.4725436566,0.6812273277,0.3190999405,0,0.6007020623,0,0.1470588235
CORRUPTIONS,DSGDETR + IMPARTAIL,R@50,0.3598016863,0.4036822726,0.3960281183,0.3371126228,0.5190438207,0.3319878232,0.406050485,0.3689201172,0.5100885089,0.2809266757,0.3600786627,0.3704363313,0.1825053996,0.1419354839,0.3333485055,0.4216380641,0.3944294699,0.3650632409,0.5178710179,0.4872127545,0.6872732769,0.3661939752,0,0.6020184291,0.1804878049,0.1974789916
CORRUPTIONS,DSGDETR + IMPARTAIL,R@100,0.3608158487,0.4051328277,0.3968245723,0.3456160242,0.5244279376,0.3423635067,0.4352006173,0.3781082638,0.5111011101,0.2832883491,0.378072763,0.3704363313,0.1825053996,0.1548387097,0.3355869476,0.4357577409,0.398622342,0.3672139437,0.5389471639,0.489608902,0.6880290206,0.3728185231,0,0.6020184291,0.2487804878,0.2058823529
CORRUPTIONS,STTRAN,R@10,0.0117617155,0.01705994951,0.01958238105,0.1628873772,0.2607142264,0.1505926937,0.1167791005,0.1564800481,0.1177992799,0.08108412056,0.1371681416,0.1861086376,0.01295896328,0.05161290323,0.1339250493,0.1058294743,0.09718478586,0.2127096295,0.2384421134,0.2923416789,0.3917775091,0.1872991347,0,0.2773146117,0.05365853659,0
CORRUPTIONS,STTRAN,R@20,0.07221092522,0.1028460316,0.1091921186,0.208994709,0.3475040298,0.1991465807,0.2140178571,0.2172954084,0.2272727273,0.1267431399,0.1843657817,0.2715939448,0.03779697624,0.1225806452,0.1756345233,0.2375374557,0.2327044025,0.2489521725,0.3165306915,0.3691469715,0.4647823458,0.2339971616,0,0.3793330408,0.09268292683,0
CORRUPTIONS,STTRAN,R@50,0.2328085364,0.2847373776,0.2579731976,0.2524565382,0.4131644981,0.2635411571,0.3427865961,0.2849690639,0.3524977498,0.1737516869,0.2335299902,0.3490650045,0.13174946,0.1548387097,0.243464031,0.3657495687,0.3544474394,0.2878248457,0.3783022533,0.4146854618,0.4989419589,0.2871663691,0,0.4778411584,0.1829268293,0.04201680672
CORRUPTIONS,STTRAN,R@100,0.2900735332,0.3321060783,0.3147724912,0.2694160998,0.4399064427,0.2825472668,0.3833212081,0.3050006262,0.4076282628,0.1903958614,0.2638151426,0.3722172752,0.192224622,0.1548387097,0.2702613954,0.4124216835,0.3776579814,0.2979075454,0.4056915307,0.4375949693,0.5101269649,0.3054205008,0,0.4967090829,0.187804878,0.1176470588
CORRUPTIONS,STTRAN + IMPARTAIL,R@10,0.1199047971,0.1717475801,0.1253289702,0.231292517,0.3888362663,0.1994773233,0.2888525132,0.2011648005,0.3277827783,0.1234817814,0.2038348083,0.3063223508,0.1393088553,0,0.1884127707,0.3146735676,0.3357292603,0.2560917377,0.2521853147,0.3864109218,0.4791414752,0.2236746326,0,0.5258885476,0,0.1260504202
CORRUPTIONS,STTRAN + IMPARTAIL,R@20,0.253126701,0.311418517,0.2608646721,0.2544406652,0.4220881732,0.250137583,0.3375242504,0.2625631873,0.3890639064,0.1629554656,0.2433628319,0.3650934996,0.2008639309,0,0.244115894,0.3609370744,0.357442348,0.2931824001,0.3291083916,0.4177595437,0.5025695284,0.2778361489,0,0.5607722685,0.04390243902,0.2142857143
CORRUPTIONS,STTRAN + IMPARTAIL,R@50,0.3069255733,0.3448959804,0.3294064686,0.2702191988,0.4435041627,0.2868025871,0.3830974427,0.3165146164,0.4425442544,0.2009671615,0.2606686332,0.3891362422,0.2138228942,0.1225806452,0.273900557,0.4085626078,0.3722671459,0.3108636096,0.4013694639,0.4338078874,0.5226723096,0.3107757634,0.5,0.5642825801,0.1853658537,0.256302521
CORRUPTIONS,STTRAN + IMPARTAIL,R@100,0.3077949287,0.3453093542,0.3308262345,0.2719198791,0.4468360005,0.2921887306,0.3864936067,0.3235486336,0.4488448845,0.2099640126,0.2618485742,0.3909171861,0.2138228942,0.1677419355,0.2764928366,0.4116952692,0.3727163822,0.3128952557,0.4171037296,0.4342637399,0.5266021765,0.3143157991,0.5,0.5642825801,0.2146341463,0.256302521
