"Method Name","Scenario","Partial Percentage","Dataset Corruption Mode","Video Corruption Mode","Corruption Type","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"sttran","partial","10","fixed","Fixed","shot_noise","3",15.09,15.22,15.22,15.22,10.46,11.85,11.88,11.88,15.58,36.06,75.65,96.72,16.97,32.81,68.68,95.37,12.43,12.43,12.43,12.43,3.85,3.85,3.85,3.85
"sttran","partial","10","fixed","Fixed","impulse_noise","3",15.47,15.66,15.66,15.66,10.37,11.78,11.84,11.84,11.96,28.72,68.93,95.97,14.89,31.67,71.39,96.16,10.55,10.55,10.55,10.55,3.6,3.6,3.6,3.6
"sttran","partial","10","fixed","Fixed","speckle_noise","3",20.58,20.99,20.99,20.99,11.68,12.24,12.24,12.24,14.13,32.49,74.69,97.58,15.19,29.13,69.39,96.44,15.56,15.56,15.56,15.56,3.9,3.9,3.9,3.9
"sttran","partial","10","fixed","Fixed","gaussian_blur","3",19.57,19.8,19.8,19.8,9.17,9.94,9.95,9.95,11.18,29.47,72.88,96.95,15.29,31.63,69.62,95.66,13.65,13.65,13.65,13.65,3.67,3.67,3.67,3.67
"sttran","partial","10","fixed","Fixed","defocus_blur","3",15.08,15.35,15.35,15.35,9.19,10.55,10.59,10.59,14.52,31.39,72.5,96.68,14.84,32.25,70.66,95.67,8.75,8.75,8.75,8.75,3.91,3.91,3.91,3.91
"sttran","partial","10","fixed","Fixed","motion_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","zoom_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","fog","3",8.87,9.19,9.19,9.19,10.72,11.75,11.76,11.76,13.33,27.91,67.97,94.89,17.15,34.27,69.33,94.82,4.26,4.26,4.26,4.26,3.86,3.86,3.86,3.86
"sttran","partial","10","fixed","Fixed","frost","3",22.52,22.92,22.92,22.92,12.27,13.01,13.03,13.03,26.53,41.44,75.63,96.43,18.08,33.26,69.83,95.78,4.35,4.35,4.35,4.35,3.83,3.83,3.83,3.83
"sttran","partial","10","fixed","Fixed","snow","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","spatter","3",11.24,11.64,11.65,11.65,9.87,10.78,10.78,10.78,12.66,26.07,66.47,94.56,14.77,31.53,71.07,96.34,5.68,5.68,5.68,5.68,3.83,3.83,3.83,3.83
"sttran","partial","10","fixed","Fixed","contrast","3",49.75,52.58,52.6,52.6,42.14,50.41,50.6,50.6,64.44,86.33,98.73,99.91,63.15,79.76,92.44,99.51,55.47,64.35,65.04,65.04,45.86,64.73,67.01,67.01
"sttran","partial","10","fixed","Fixed","brightness","3",55.47,58.55,58.57,58.57,43.25,51.72,51.93,51.93,66.84,88.14,98.95,99.93,64.91,81.44,92.85,99.58,61.47,71.58,72.6,72.6,47.43,68.75,72.28,72.28
"sttran","partial","10","fixed","Fixed","elastic_transform","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","pixelate","3",52.66,55.72,55.75,55.75,40.43,47.73,47.94,47.94,66.27,87.47,99.06,99.95,61.62,80.56,92.78,99.41,58.71,69.33,70.46,70.46,45.55,66.66,70.47,70.47
"sttran","partial","10","fixed","Fixed","jpeg_compression","3",53.02,56.08,56.1,56.1,39.92,47.07,47.25,47.25,66.21,87.36,99.08,99.95,60.76,79.67,92.86,99.59,58.88,69.46,70.61,70.61,44.98,65.58,69.31,69.31
"sttran","partial","10","fixed","Fixed","sun_glare","3",42.9,45.37,45.39,45.39,40.99,48.45,48.66,48.66,58.19,82.0,98.02,99.88,61.11,78.11,92.58,99.57,48.27,55.42,55.93,55.93,44.09,60.58,62.49,62.49
"sttran","partial","10","fixed","Fixed","rain","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","dust","3",40.5,42.9,42.92,42.92,39.22,46.58,46.72,46.72,56.9,80.55,97.64,99.83,59.76,76.51,91.89,99.5,45.2,51.72,52.13,52.13,43.5,58.5,60.09,60.09
"sttran","partial","10","fixed","Fixed","wildfire_smoke","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","saturate","3",56.42,59.54,59.56,59.56,43.72,52.5,52.66,52.66,66.9,88.27,98.97,99.93,65.5,81.8,92.92,99.55,62.6,72.93,74.01,74.01,47.51,69.41,73.16,73.16
"sttran","partial","10","fixed","Fixed","glass_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","mixed","fixed","Mixed","3",52.73,55.73,55.75,55.75,42.67,50.91,51.04,51.04,65.3,86.9,98.79,99.92,64.1,80.54,92.67,99.58,58.7,68.43,69.35,69.35,46.77,67.06,70.35,70.35
"sttran","partial","10","mixed","mixed","Mixed","3",47.51,50.33,50.35,50.35,41.25,48.95,49.09,49.09,63.0,85.02,98.66,99.92,62.05,79.35,92.69,99.56,53.34,62.21,62.99,62.99,45.06,63.98,66.7,66.7
"dsgdetr","full","-","fixed","Fixed","no_corruption","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","full","-","fixed","Fixed","gaussian_noise","3",57.41,60.43,60.45,60.45,30.42,35.28,35.39,35.39,71.37,91.18,98.88,99.87,45.59,62.23,80.25,95.31,62.97,70.5,70.87,70.87,34.17,45.82,46.78,46.78
"dsgdetr","full","-","fixed","Fixed","shot_noise","3",57.65,60.68,60.71,60.71,30.35,35.24,35.35,35.35,71.49,91.29,98.91,99.87,45.77,62.32,80.11,95.37,63.34,71.14,71.53,71.53,34.43,46.44,47.47,47.47
"dsgdetr","full","-","fixed","Fixed","impulse_noise","3",57.78,60.85,60.87,60.87,29.74,34.52,34.63,34.63,71.65,91.3,98.87,99.87,44.72,61.61,80.17,95.69,62.85,70.02,70.34,70.34,33.17,43.97,44.76,44.76
"dsgdetr","full","-","fixed","Fixed","speckle_noise","3",58.63,61.74,61.77,61.77,30.9,35.8,35.9,35.9,71.8,91.5,98.93,99.87,46.16,62.75,80.35,95.61,64.5,72.9,73.39,73.39,35.16,48.13,49.31,49.31
"dsgdetr","full","-","fixed","Fixed","gaussian_blur","3",64.48,68.03,68.06,68.06,32.08,36.77,36.88,36.88,74.83,92.9,99.07,99.88,47.81,63.84,80.29,95.48,69.8,79.34,80.0,80.0,37.39,51.66,53.21,53.21
"dsgdetr","full","-","fixed","Fixed","defocus_blur","3",64.22,67.77,67.8,67.8,32.01,36.72,36.84,36.84,74.72,92.87,99.08,99.87,47.79,63.8,80.38,95.46,69.61,79.2,79.85,79.85,37.27,51.68,53.16,53.16
"dsgdetr","full","-","fixed","Fixed","motion_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","full","-","fixed","Fixed","zoom_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","full","-","fixed","Fixed","fog","3",66.33,69.98,70.01,70.01,33.07,38.12,38.23,38.23,75.95,93.39,99.04,99.88,49.1,64.71,80.57,95.64,71.4,80.55,81.15,81.15,38.49,52.8,54.28,54.28
"dsgdetr","full","-","fixed","Fixed","frost","3",62.99,66.49,66.52,66.52,32.39,37.26,37.37,37.37,74.09,92.47,99.04,99.88,48.18,63.83,80.54,95.5,68.4,77.54,78.15,78.15,37.3,51.45,52.93,52.93
"dsgdetr","full","-","fixed","Fixed","snow","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","full","-","fixed","Fixed","spatter","3",63.84,67.33,67.36,67.36,31.07,35.73,35.84,35.84,74.49,92.79,99.07,99.88,46.56,63.04,80.56,95.69,69.22,78.48,79.1,79.1,36.45,49.9,51.27,51.27
