"Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"easg","full","-",13.62,15.39,17.37,18.63,1.05,1.18,1.34,1.43,14.5,17.81,21.85,23.1,1.12,1.37,1.68,1.78
"easg","partial",10,13.13,14.84,16.92,18.41,1.01,1.14,1.3,1.42,13.67,17.4,21.94,23.35,1.05,1.34,1.69,1.8
"easg","partial",40,13.37,15.23,16.87,18.23,1.03,1.17,1.3,1.4,14.0,18.07,22.1,23.42,1.08,1.39,1.7,1.8
"easg","partial",70,13.32,15.36,16.93,18.37,1.02,1.18,1.3,1.41,13.86,17.87,22.04,23.31,1.07,1.37,1.7,1.79
"easg","labelnoise",10,13.59,15.22,17.1,18.36,1.05,1.17,1.32,1.41,14.19,17.94,21.77,23.06,1.09,1.38,1.67,1.77
"easg","labelnoise",20,13.66,15.16,16.95,18.21,1.05,1.17,1.3,1.4,13.45,17.62,21.69,23.32,1.03,1.36,1.67,1.79
"easg","labelnoise",30,13.04,14.81,16.34,17.73,1.0,1.14,1.26,1.36,12.55,17.12,21.43,22.84,0.97,1.32,1.65,1.76
