"Context Fraction","Method Name","Scenario Name","Partial Percentage","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100"
"0.5","dsgdetr_gen_ant","partial","10",18.08,25.32,26.72,26.72,20.04,32.13,50.52,56.74,10.03,10.07,10.07,10.07,28.49,29.53,29.53,29.53,35.55,47.33,54.1,54.48,10.23,10.23,10.23,10.23,34.72,37.41,37.44,37.44,41.74,59.99,72.34,73.9,10.12,10.12,10.12,10.12
"0.5","ode","full","-",16.61,28.16,33.55,33.57,25.84,35.75,48.87,55.04,14.22,18.96,20.58,20.71,25.75,27.24,27.25,27.25,34.06,45.13,52.76,54.09,7.22,7.23,7.23,7.23,40.27,43.45,43.48,43.48,47.22,62.37,72.45,73.92,24.53,25.15,25.21,25.21
"0.5","ode","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","sde","full","-",17.47,30.01,36.46,36.51,28.97,39.14,51.51,56.68,13.91,17.68,18.03,18.03,32.96,34.77,34.77,34.77,39.94,48.85,53.73,54.45,18.99,19.07,19.07,19.07,43.66,47.36,47.4,47.4,51.97,66.2,73.42,73.99,24.65,24.95,24.95,24.95
"0.5","sde","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.7","sttran_ant","full","-",18.36,31.72,34.34,34.34,26.16,39.63,59.04,63.76,13.66,16.61,16.65,16.65,27.04,28.2,28.2,28.2,41.33,54.77,59.85,60.01,11.9,11.94,11.94,11.94,48.4,51.59,51.6,51.6,59.53,75.26,83.27,83.81,28.29,28.41,28.41,28.41
"0.7","sttran_ant","partial","10",20.62,28.51,29.84,29.84,22.17,35.0,54.95,62.99,12.36,12.38,12.38,12.38,25.71,26.44,26.44,26.44,36.01,49.23,58.65,59.14,9.61,9.61,9.61,9.61,34.97,36.75,36.75,36.75,49.43,67.81,82.73,83.79,14.93,14.93,14.93,14.93
"0.7","dsgdetr_ant","full","-",14.51,26.97,29.05,29.05,26.03,37.37,58.48,62.47,8.56,9.99,9.99,9.99,27.73,28.96,28.96,28.96,41.6,56.61,62.27,62.52,8.27,8.29,8.29,8.29,40.38,43.46,43.47,43.47,55.13,74.16,83.22,83.78,14.31,14.35,14.35,14.35
"0.7","dsgdetr_ant","partial","10",21.02,28.73,29.76,29.76,23.23,34.59,51.98,60.42,11.11,11.13,11.13,11.13,31.0,31.89,31.89,31.89,40.19,53.54,61.57,62.09,11.14,11.14,11.14,11.14,39.84,41.6,41.61,41.61,49.43,69.13,82.98,83.82,14.41,14.41,14.41,14.41
"0.7","sttran_gen_ant","full","-",22.53,36.42,39.17,39.17,27.25,42.15,59.66,63.85,15.95,17.85,17.87,17.87,27.05,28.17,28.17,28.17,41.44,54.93,59.62,59.74,11.05,11.08,11.08,11.08,37.28,40.5,40.51,40.51,54.72,74.15,83.42,83.81,15.95,16.29,16.29,16.29
"0.7","sttran_gen_ant","partial","10",21.87,32.72,34.86,34.86,23.55,36.47,56.96,63.55,13.0,13.06,13.06,13.06,29.55,30.25,30.25,30.25,39.6,52.95,59.12,59.47,9.66,9.66,9.66,9.66,43.73,46.19,46.19,46.19,54.38,72.59,82.86,83.81,12.81,12.81,12.81,12.81
